|6.6.6
fo98                                                                                                
           2
 T(K)    
   298.14999999999998     
   50.000000000000000     
          28
 P(bar)  
   1.0000000000000000     
   1000.0000000000000     
          30
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv         
  1048.150       1.000000      -2206078.      -1906999.       109.9386       285.3395       176.5652       4.485629      0.1848736E-03  0.4039532E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1098.150       1.000000      -2220553.      -1898134.       105.6214       293.6015       178.0189       4.494925      0.1867765E-03  0.4082402E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1148.150       1.000000      -2235433.      -1889199.       101.6988       301.5581       179.3785       4.504313      0.1885536E-03  0.4126094E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1198.150       1.000000      -2250704.      -1880198.       98.12052       309.2317       180.6542       4.513787      0.1902182E-03  0.4170623E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1248.150       1.000000      -2266352.      -1871135.       94.84473       316.6422       181.8549       4.523342      0.1917817E-03  0.4216007E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1298.150       1.000000      -2282364.      -1862013.       91.83595       323.8073       182.9881       4.532973      0.1932539E-03  0.4262262E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1348.150       1.000000      -2298728.      -1852837.       89.06400       330.7433       184.0602       4.542675      0.1946433E-03  0.4309409E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1398.150       1.000000      -2315434.      -1843608.       86.50306       337.4647       185.0771       4.552445      0.1959575E-03  0.4357468E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1448.150       1.000000      -2332472.      -1834330.       84.13090       343.9848       186.0435       4.562279      0.1972029E-03  0.4406459E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1498.150       1.000000      -2349830.      -1825005.       81.92828       350.3156       186.9640       4.572173      0.1983854E-03  0.4456406E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1548.150       1.000000      -2367500.      -1815634.       79.87847       356.4680       187.8422       4.582126      0.1995101E-03  0.4507332E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1598.150       1.000000      -2385474.      -1806221.       77.96683       362.4521       188.6817       4.592133      0.2005815E-03  0.4559261E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1648.150       1.000000      -2403743.      -1796767.       76.18053       368.2772       189.4854       4.602193      0.2016037E-03  0.4612219E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
